summer_weekday;summer_saturday;summer_sunday;winter_weekday;winter_saturday;winter_sunday
0.036;0.036;0.036;0.036;0.036;0.036
0.036;0.036;0.036;0.036;0.036;0.036
0.036;0.036;0.036;0.036;0.036;0.036
0.036;0.036;0.036;0.036;0.036;0.036
0.036;0.036;0.036;0.036;0.036;0.036
0.036;0.036;0.036;0.036;0.036;0.036
0.04;0.04;0.04;0.04;0.04;0.04
0.045;0.045;0.045;0.045;0.045;0.045
0.045;0.045;0.045;0.045;0.045;0.045
0.045;0.045;0.045;0.045;0.045;0.045
0.045;0.045;0.045;0.045;0.045;0.045
0.045;0.045;0.045;0.045;0.045;0.045
0.045;0.045;0.045;0.045;0.045;0.045
0.045;0.045;0.045;0.045;0.045;0.045
0.045;0.045;0.045;0.045;0.045;0.045
0.045;0.045;0.045;0.045;0.045;0.045
0.045;0.045;0.045;0.045;0.045;0.045
0.045;0.045;0.045;0.045;0.045;0.045
0.045;0.045;0.045;0.045;0.045;0.045
0.045;0.045;0.045;0.045;0.045;0.045
0.045;0.045;0.045;0.045;0.045;0.045
0.045;0.045;0.045;0.045;0.045;0.045
0.04;0.04;0.04;0.04;0.04;0.04
0.036;0.036;0.036;0.036;0.036;0.036
